fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240503 212615	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	158	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.407730382114485	0.801753421852996	1306	1600	14292	61434524.7376312	1
20240503 230751	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	494	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.21383096977893	0.616823368717278	1256	1255	11196	61069811.0944528	2
20240504 004908	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	258	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.318831984543254	0.841267799192272	1489	1309	10708	61270482.7586207	3
20240504 021530	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	217	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.433485053332672	0.756361532979225	438	1745	13064	60363082.4587706	4
20240504 042256	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	380	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.170206661928209	0.708926016198614	769	640	11870	61725592.203898	5
20240504 062833	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	988	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0457193363656399	0.871201785452424	589	942	13203	61791959.5202399	6
20240504 082226	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	165	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.267959243141498	0.698062276886067	1705	913	10992	62378722.6386807	7
20240504 104230	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	482	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.12978480622469	0.547170882249843	995	544	11535	60657908.5457271	8
20240504 114132	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	208	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.376464876672618	0.875122337974712	142	116	11464	57180713.6431784	9
20240504 130642	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	681	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.493088420778051	0.650729465531588	1144	1829	11929	59629071.964018	10
20240504 145115	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	646	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.139029263903203	0.511883972409849	1562	1461	12736	61087532.2338831	11
20240504 153751	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1188	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.230728109984821	0.580077559083265	55	788	11817	60888730.1349325	12
20240504 170900	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2468	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0804965378200356	0.557148840444153	274	1987	13158	60386869.5652174	13
20240504 185924	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	254	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.440305690545899	0.638724151173286	2045	418	14015	59047353.8230885	14
20240504 222413	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2680	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0180566884627138	0.746170269361096	1849	305	12899	60206988.005997	15
