fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240504 143650	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	736	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.407730382114485	0.801753421852996	1306	1600	13006	53744578.7106447	1
20240504 143940	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.21383096977893	0.616823368717278	1256	1255	12168	58798368.8155922	2
20240504 144148	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	91	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.318831984543254	0.841267799192272	1489	1309	13662	56082125.9370315	3
20240504 144546	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	751	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.433485053332672	0.756361532979225	438	1745	13538	50598593.7031484	4
20240504 144825	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	107	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.170206661928209	0.708926016198614	769	640	12736	59257727.1364318	5
20240504 145415	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	794	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0457193363656399	0.871201785452424	589	942	13780	59358170.9145427	6
20240504 145919	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	471	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.267959243141498	0.698062276886067	1705	913	12766	54127427.2863568	7
20240504 150250	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	117	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.12978480622469	0.547170882249843	995	544	11405	59556814.0929535	8
20240504 150633	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	770	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.376464876672618	0.875122337974712	142	116	12414	50215211.3943028	9
20240504 150945	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	519	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.493088420778051	0.650729465531588	1144	1829	12915	50304535.2323838	10
20240504 151456	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	543	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.139029263903203	0.511883972409849	1562	1461	10060	57038650.6746627	11
20240504 151747	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	524	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.230728109984821	0.580077559083265	55	788	10329	55601725.6371814	12
20240504 152130	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	299	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0804965378200356	0.557148840444153	274	1987	12253	60304388.3058471	13
20240504 152346	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	41	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.440305690545899	0.638724151173286	2045	418	12462	55039547.2263868	14
20240504 153442	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	789	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0180566884627138	0.746170269361096	1849	305	13267	60186946.0269865	15
20240504 153741	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	315	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.306898385858917	0.779411451412035	850	1137	12570	53100434.7826087	16
20240504 154613	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1060	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0164903403834032	0.617144466124172	757	607	13976	61328971.5142429	17
20240504 155933	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	887	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100104435894512	0.585966795931831	636	429	11732	61649757.1214393	18
