fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240503 210151	1071	301019	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	209	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.361441699104441	0.77860194263612	661	1010	13298	58935805.0974513	1
20240504 000437	1071	301019	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1010	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.211482172810249	0.610742662744474	527	1692	13084	60144941.5292354	2
20240504 031501	1071	301019	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	437	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.249892247670962	0.572814493951251	1600	1822	11898	60403571.2143928	3
20240504 064933	1071	301019	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	838	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.128325353842327	0.628963855624777	1114	1288	11504	60558584.7076462	4
20240504 100843	1071	301019	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	258	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.301302401111525	0.764951216885786	224	1461	11507	60492133.4332834	5
20240504 145921	1071	301019	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	477	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.158087681268455	0.502698722897641	1163	479	13864	60378194.9025487	6
20240504 182007	1071	301019	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	452	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.459146286332381	0.663931547256131	335	329	13370	59922803.5982009	7
20240504 223106	1071	301019	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2460	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.0327085500129623	0.680500923776811	1314	834	13496	60842374.8125937	8
20240505 021345	1071	301019	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	362	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.406842123879041	0.705886348598721	839	743	12327	58615281.8590705	9
20240505 051015	1071	301019	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1029	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.0757189834413697	0.806342523031459	910	1943	11719	61398142.4287856	10
