fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240503 173436	1070	301019	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	288	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.361441699104441	0.77860194263612	661	1010	12072	53640971.5142429	1
20240503 173707	1070	301019	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	69	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.211482172810249	0.610742662744474	527	1692	11723	59198736.131934	2
20240503 174034	1070	301019	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	259	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.249892247670962	0.572814493951251	1600	1822	11573	55928976.011994	3
20240503 174348	1070	301019	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	335	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.128325353842327	0.628963855624777	1114	1288	15571	58412397.3013493	4
20240503 174555	1070	301019	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	107	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.301302401111525	0.764951216885786	224	1461	11072	56617343.3283358	5
20240503 175044	1070	301019	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	265	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.158087681268455	0.502698722897641	1163	479	14269	59078277.3613193	6
20240503 175323	1070	301019	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	268	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.459146286332381	0.663931547256131	335	329	13308	53213631.1844078	7
20240503 180046	1070	301019	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1028	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.0327085500129623	0.680500923776811	1314	834	13413	61263548.7256372	8
20240503 180532	1070	301019	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	118	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.406842123879041	0.705886348598721	839	743	14210	54148950.5247376	9
20240503 181044	1070	301019	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	968	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.0757189834413697	0.806342523031459	910	1943	13908	58682056.9715142	10
