fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240503 173622	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	84	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.361441699104441	0.77860194263612	661	1010	20567	49592193.4032983	1
20240503 173759	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.211482172810249	0.610742662744474	527	1692	10628	42660107.946027	2
20240503 174004	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.249892247670962	0.572814493951251	1600	1822	21101	46408484.2578711	3
20240503 174158	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	85	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.128325353842327	0.628963855624777	1114	1288	18633	49660220.3898051	4
20240503 174435	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	290	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.301302401111525	0.764951216885786	224	1461	19945	43951386.8065967	5
20240503 175049	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	605	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.158087681268455	0.502698722897641	1163	479	14547	55781248.8755622	6
20240503 175438	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	120	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.459146286332381	0.663931547256131	335	329	15063	54865272.8635682	7
20240503 175646	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.0327085500129623	0.680500923776811	1314	834	18191	49021962.5187406	8
20240503 180012	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	409	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.406842123879041	0.705886348598721	839	743	17664	52488719.6401799	9
20240503 180230	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	230	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.0757189834413697	0.806342523031459	910	1943	24536	41931850.0749625	10
20240503 180439	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.432997033422786	0.880932479132655	1486	384	14083	50461884.5577211	11
20240503 180641	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	34	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.278889826942837	0.586488533582216	1673	1098	17917	50507650.6746627	12
20240503 180749	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.330113490373445	0.836671487626776	76	668	15973	51456772.113943	13
20240503 181218	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	875	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.476434363377536	0.748358464196455	1868	1596	22522	45310881.5592204	14
20240503 181610	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	60	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.0443406591913039	0.854530003129561	1922	142	13570	51087841.0794603	15
20240503 181830	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.172681676591086	0.531188159962682	410	1175	18614	47632542.7286357	16
20240503 182842	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.300547595710089	0.500061887590118	940	101	13697	58519554.7226387	17
20240503 184617	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.49855536706517	0.500001087640607	1032	100	13653	58507206.8965517	18
20240503 185722	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.367008513389994	0.500064528759119	1081	100	13653	58507206.8965517	19
20240503 190721	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.422876787663282	0.500037806204473	890	100	13652	58507328.3358321	20
20240503 191753	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.368445188178913	0.500072750685594	979	100	13653	58507326.8365817	21
20240503 192901	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.234724806387689	0.500003811232428	1055	100	13653	58507206.8965517	22
20240503 193048	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.382143400777446	0.500703693709076	8	100	14253	50549185.9070465	23
20240503 193427	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	57	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.438089377148506	0.570652155898461	919	100	13014	57105466.2668666	24
20240503 194311	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.493022814637478	0.50059550264029	711	100	13656	58508761.6191904	25
20240503 195320	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.245494733303103	0.500000924593802	778	100	13506	58508686.6566717	26
20240503 200254	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.314384215311704	0.500001073658509	816	100	13653	58507746.6266867	27
20240503 201250	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.266957668022568	0.500232917910863	872	100	13652	58507508.2458771	28
20240503 202208	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.379754781938968	0.500001043849616	758	100	13510	58509340.3298351	29
20240503 203303	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.328172173030694	0.500020907597642	1034	102	13616	58437457.2713643	30
20240503 203532	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	159	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.499531971186949	0.899897443730694	408	100	13042	54745844.077961	31
20240503 204638	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.493642371948372	0.50010015270063	1669	100	13653	58507206.8965517	32
20240503 205750	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.426178096201564	0.500021739835144	2048	100	13653	58507206.8965517	33
20240503 210859	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.478648982210846	0.50002719476561	1884	100	13653	58507206.8965517	34
20240503 212024	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.248461401811896	0.50015458180743	1963	100	13653	58507206.8965517	35
20240503 213133	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.365310318869675	0.500131385411619	1792	100	13653	58507206.8965517	36
20240503 214054	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.499722028288528	0.500363973672018	790	100	13507	58508145.4272864	37
20240503 215157	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.486142142848758	0.500236561006048	1460	100	13653	58507206.8965517	38
20240503 220306	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.431385242452774	0.500143327635257	1561	100	13653	58507206.8965517	39
20240503 221324	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.197571111594733	0.500109340864059	933	100	13652	58506848.5757121	40
20240503 221538	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.406140894188572	0.50000365299391	2028	1470	15390	51848470.7646177	41
20240503 222643	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.498756614922534	0.500066386695287	1230	100	13653	58507206.8965517	42
20240503 223751	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.4759177322994	0.500024712744675	1364	100	13653	58507206.8965517	43
20240503 224904	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.496391849334369	0.500008175740276	1309	100	13653	58507206.8965517	44
20240503 230020	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.387884378055413	0.500140068663464	1960	100	13653	58507206.8965517	45
20240503 231136	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.487750475443944	0.500146378951995	1395	100	13653	58507206.8965517	46
20240503 232253	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.462566300950369	0.500026792881616	1428	100	13653	58507206.8965517	47
20240503 233416	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.230323934189175	0.500011670421791	1727	100	13653	58507206.8965517	48
20240503 233640	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.234009205686554	0.721051661711234	650	100	13931	56902412.2938531	49
20240503 234712	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.0983355776877892	0.500001197826519	941	100	13653	58507086.9565217	50
20240503 235623	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.126656916448594	0.500106903825289	718	100	13656	58510920.5397301	51
20240504 000733	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.471959807670758	0.500162526932078	1483	100	13653	58507206.8965517	52
20240504 001843	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.494027608946849	0.500374107535584	1277	101	13697	58520694.1529235	53
20240504 003827	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.457037900349513	0.500188237904023	1749	100	13653	58507206.8965517	54
20240504 004354	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	225	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.0109811102913158	0.647250720069433	678	100	14207	57725926.5367316	55
20240504 005328	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	899	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.0869204184556058	0.511568487574698	760	100	13291	58463071.964018	56
20240504 010313	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.127177021713804	0.500093977586	814	100	13653	58507866.5667166	57
20240504 011151	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.218534576160148	0.500451028966212	647	100	13641	58488634.1829085	58
20240504 012050	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.086472836424005	0.516466861989265	648	100	13213	58504268.3658171	59
20240504 012839	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	778	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.0866810612303681	0.516457328951702	571	100	13391	58443611.6941529	60
20240504 013158	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.0101227291868785	0.697636974299324	398	100	13743	56648481.2593703	61
20240504 014228	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.285920216130906	0.50002673327737	962	100	13652	58507688.155922	62
20240504 015243	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.353255612777018	0.500153787416942	915	100	13652	58506848.5757121	63
20240504 020409	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.122767493808719	0.500271714174989	1781	100	13653	58507206.8965517	64
20240504 021533	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.142536545514267	0.500037664592012	1607	100	13653	58507206.8965517	65
20240504 022650	1067	301019	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	901	1	1	1	FALSE	1	0.1	50	0.5	FALSE	889963	0.296417218628751	0.502214627595475	1117	100	13630	58565232.3838081	66
