max_depth	min_split	ganancia_promedio
4	10	48696000
4	10	48692000
4	10	48672000
4	10	48884000
4	10	48916000
4	10	48696000
4	10	48696000
4	10	48692000
4	10	48672000
4	10	48884000
4	10	48916000
4	10	48696000
4	10	48696000
4	10	48692000
4	10	48672000
4	10	48884000
4	10	48916000
4	10	48696000
4	10	38194000
4	10	38062000
4	10	37956000
4	10	21690000
4	10	21756000
4	10	38194000
4	10	0
4	10	0
4	10	0
4	10	0
4	10	0
4	10	0
4	20	48672000
4	20	48672000
4	20	48672000
4	20	48884000
4	20	48916000
4	20	48672000
4	20	48672000
4	20	48672000
4	20	48672000
4	20	48884000
4	20	48916000
4	20	48672000
4	20	48672000
4	20	48672000
4	20	48672000
4	20	48884000
4	20	48916000
4	20	48672000
4	20	38170000
4	20	38042000
4	20	37956000
4	20	21690000
4	20	21756000
4	20	38042000
4	20	0
4	20	0
4	20	0
4	20	0
4	20	0
4	20	0
4	40	48672000
4	40	48672000
4	40	48672000
4	40	48884000
4	40	48916000
4	40	48780000
4	40	48672000
4	40	48672000
4	40	48672000
4	40	48884000
4	40	48916000
4	40	48780000
4	40	48672000
4	40	48672000
4	40	48672000
4	40	48884000
4	40	48916000
4	40	48780000
4	40	38170000
4	40	38042000
4	40	37956000
4	40	21690000
4	40	21756000
4	40	38030000
4	40	0
4	40	0
4	40	0
4	40	0
4	40	0
4	40	0
4	80	48562000
4	80	48562000
4	80	48562000
4	80	48878000
4	80	48884000
4	80	49086000
4	80	48562000
4	80	48562000
4	80	48562000
4	80	48878000
4	80	48884000
4	80	49086000
4	80	48562000
4	80	48562000
4	80	48562000
4	80	48878000
4	80	48884000
4	80	49086000
4	80	29096000
4	80	28968000
4	80	28882000
4	80	21756000
4	80	21756000
4	80	21756000
4	80	0
4	80	0
4	80	0
4	80	0
4	80	0
4	80	0
4	160	48504000
4	160	48504000
4	160	48504000
4	160	48774000
4	160	48824000
4	160	48846000
4	160	48504000
4	160	48504000
4	160	48504000
4	160	48774000
4	160	48824000
4	160	48846000
4	160	48504000
4	160	48504000
4	160	48504000
4	160	48774000
4	160	48824000
4	160	48846000
4	160	21520000
4	160	21520000
4	160	21434000
4	160	7392000
4	160	7392000
4	160	7392000
4	160	0
4	160	0
4	160	0
4	160	0
4	160	0
4	160	0
4	320	48504000
4	320	48504000
4	320	48504000
4	320	48774000
4	320	48824000
4	320	48572000
4	320	48504000
4	320	48504000
4	320	48504000
4	320	48774000
4	320	48824000
4	320	48572000
4	320	48504000
4	320	48504000
4	320	48504000
4	320	48774000
4	320	48824000
4	320	48572000
4	320	21520000
4	320	21520000
4	320	21434000
4	320	7392000
4	320	7392000
4	320	0
4	320	0
4	320	0
4	320	0
4	320	0
4	320	0
4	320	0
4	640	48504000
4	640	48504000
4	640	48504000
4	640	48774000
4	640	48824000
4	640	49870000
4	640	48504000
4	640	48504000
4	640	48504000
4	640	48774000
4	640	48824000
4	640	49870000
4	640	48504000
4	640	48504000
4	640	48504000
4	640	48774000
4	640	48824000
4	640	49870000
4	640	21520000
4	640	21520000
4	640	14042000
4	640	0
4	640	0
4	640	0
4	640	0
4	640	0
4	640	0
4	640	0
4	640	0
4	640	0
6	10	47092000
6	10	48372000
6	10	48968000
6	10	49064000
6	10	49066000
6	10	47092000
6	10	47092000
6	10	48372000
6	10	48968000
6	10	49064000
6	10	49066000
6	10	47092000
6	10	47092000
6	10	48372000
6	10	48968000
6	10	49064000
6	10	49066000
6	10	47092000
6	10	48670000
6	10	48198000
6	10	48334000
6	10	41252000
6	10	37966000
6	10	48670000
6	10	0
6	10	0
6	10	0
6	10	0
6	10	0
6	10	0
6	20	47226000
6	20	48578000
6	20	48968000
6	20	49064000
6	20	49066000
6	20	48572000
6	20	47226000
6	20	48578000
6	20	48968000
6	20	49064000
6	20	49066000
6	20	48572000
6	20	47226000
6	20	48578000
6	20	48968000
6	20	49064000
6	20	49066000
6	20	48572000
6	20	48846000
6	20	48442000
6	20	48280000
6	20	41252000
6	20	37966000
6	20	48516000
6	20	0
6	20	0
6	20	0
6	20	0
6	20	0
6	20	0
6	40	47464000
6	40	48708000
6	40	49150000
6	40	48976000
6	40	49066000
6	40	49018000
6	40	47464000
6	40	48708000
6	40	49150000
6	40	48976000
6	40	49066000
6	40	49018000
6	40	47464000
6	40	48708000
6	40	49150000
6	40	48976000
6	40	49066000
6	40	49018000
6	40	46524000
6	40	41590000
6	40	41172000
6	40	41252000
6	40	37966000
6	40	41194000
6	40	0
6	40	0
6	40	0
6	40	0
6	40	0
6	40	0
6	80	47512000
6	80	48754000
6	80	49252000
6	80	48822000
6	80	49092000
6	80	49636000
6	80	47512000
6	80	48754000
6	80	49252000
6	80	48822000
6	80	49092000
6	80	49636000
6	80	47512000
6	80	48754000
6	80	49252000
6	80	48822000
6	80	49092000
6	80	49636000
6	80	46604000
6	80	39534000
6	80	39120000
6	80	39194000
6	80	30766000
6	80	32032000
6	80	0
6	80	0
6	80	0
6	80	0
6	80	0
6	80	0
6	160	47512000
6	160	48752000
6	160	49188000
6	160	48938000
6	160	49624000
6	160	50690000
6	160	47512000
6	160	48752000
6	160	49188000
6	160	48938000
6	160	49624000
6	160	50690000
6	160	47512000
6	160	48752000
6	160	49188000
6	160	48938000
6	160	49624000
6	160	50690000
6	160	46602000
6	160	39530000
6	160	31672000
6	160	24830000
6	160	7392000
6	160	7392000
6	160	0
6	160	0
6	160	0
6	160	0
6	160	0
6	160	0
6	320	48124000
6	320	49366000
6	320	49802000
6	320	49602000
6	320	49586000
6	320	50808000
6	320	48124000
6	320	49366000
6	320	49802000
6	320	49602000
6	320	49586000
6	320	50808000
6	320	48124000
6	320	49366000
6	320	49802000
6	320	49602000
6	320	49586000
6	320	50808000
6	320	46600000
6	320	38042000
6	320	30444000
6	320	7392000
6	320	7392000
6	320	0
6	320	0
6	320	0
6	320	0
6	320	0
6	320	0
6	320	0
6	640	48122000
6	640	49366000
6	640	49802000
6	640	49964000
6	640	49552000
6	640	51030000
6	640	48122000
6	640	49366000
6	640	49802000
6	640	49964000
6	640	49552000
6	640	51030000
6	640	48122000
6	640	49366000
6	640	49802000
6	640	49964000
6	640	49552000
6	640	51030000
6	640	46598000
6	640	38042000
6	640	23052000
6	640	0
6	640	0
6	640	0
6	640	0
6	640	0
6	640	0
6	640	0
6	640	0
6	640	0
8	10	46654000
8	10	47112000
8	10	48108000
8	10	49248000
8	10	48812000
8	10	46654000
8	10	46654000
8	10	47112000
8	10	48108000
8	10	49248000
8	10	48812000
8	10	46654000
8	10	46654000
8	10	47112000
8	10	48108000
8	10	49248000
8	10	48812000
8	10	46654000
8	10	46464000
8	10	46332000
8	10	47884000
8	10	45360000
8	10	37966000
8	10	46464000
8	10	0
8	10	0
8	10	0
8	10	0
8	10	0
8	10	0
8	20	47258000
8	20	47986000
8	20	48336000
8	20	49248000
8	20	48812000
8	20	47910000
8	20	47258000
8	20	47986000
8	20	48336000
8	20	49248000
8	20	48812000
8	20	47910000
8	20	47258000
8	20	47986000
8	20	48336000
8	20	49248000
8	20	48812000
8	20	47910000
8	20	47008000
8	20	46562000
8	20	47544000
8	20	45360000
8	20	37966000
8	20	46418000
8	20	0
8	20	0
8	20	0
8	20	0
8	20	0
8	20	0
8	40	48502000
8	40	48872000
8	40	49268000
8	40	49404000
8	40	48812000
8	40	49956000
8	40	48502000
8	40	48872000
8	40	49268000
8	40	49404000
8	40	48812000
8	40	49956000
8	40	48502000
8	40	48872000
8	40	49268000
8	40	49404000
8	40	48812000
8	40	49956000
8	40	49186000
8	40	47756000
8	40	45064000
8	40	45360000
8	40	37966000
8	40	45154000
8	40	0
8	40	0
8	40	0
8	40	0
8	40	0
8	40	0
8	80	48502000
8	80	49042000
8	80	49720000
8	80	48966000
8	80	48710000
8	80	48490000
8	80	48502000
8	80	49042000
8	80	49720000
8	80	48966000
8	80	48710000
8	80	48490000
8	80	48502000
8	80	49042000
8	80	49720000
8	80	48966000
8	80	48710000
8	80	48490000
8	80	49396000
8	80	41360000
8	80	38514000
8	80	38618000
8	80	30766000
8	80	39232000
8	80	0
8	80	0
8	80	0
8	80	0
8	80	0
8	80	0
8	160	48486000
8	160	49548000
8	160	50132000
8	160	49696000
8	160	49456000
8	160	48514000
8	160	48486000
8	160	49548000
8	160	50132000
8	160	49696000
8	160	49456000
8	160	48514000
8	160	48486000
8	160	49548000
8	160	50132000
8	160	49696000
8	160	49456000
8	160	48514000
8	160	47556000
8	160	39512000
8	160	39120000
8	160	24830000
8	160	7392000
8	160	7392000
8	160	0
8	160	0
8	160	0
8	160	0
8	160	0
8	160	0
8	320	48962000
8	320	50144000
8	320	50684000
8	320	50518000
8	320	49478000
8	320	49146000
8	320	48962000
8	320	50144000
8	320	50684000
8	320	50518000
8	320	49478000
8	320	49146000
8	320	48962000
8	320	50144000
8	320	50684000
8	320	50518000
8	320	49478000
8	320	49146000
8	320	47552000
8	320	38024000
8	320	37892000
8	320	7392000
8	320	7392000
8	320	0
8	320	0
8	320	0
8	320	0
8	320	0
8	320	0
8	320	0
8	640	49104000
8	640	49868000
8	640	50922000
8	640	51378000
8	640	49878000
8	640	49092000
8	640	49104000
8	640	49868000
8	640	50922000
8	640	51378000
8	640	49878000
8	640	49092000
8	640	49104000
8	640	49868000
8	640	50922000
8	640	51378000
8	640	49878000
8	640	49092000
8	640	47680000
8	640	38024000
8	640	23052000
8	640	0
8	640	0
8	640	0
8	640	0
8	640	0
8	640	0
8	640	0
8	640	0
8	640	0
10	10	44548000
10	10	43076000
10	10	44178000
10	10	45938000
10	10	46008000
10	10	44548000
10	10	44548000
10	10	43076000
10	10	44178000
10	10	45938000
10	10	46008000
10	10	44548000
10	10	44548000
10	10	43076000
10	10	44178000
10	10	45938000
10	10	46008000
10	10	44548000
10	10	45322000
10	10	46668000
10	10	48720000
10	10	45402000
10	10	37966000
10	10	45322000
10	10	0
10	10	0
10	10	0
10	10	0
10	10	0
10	10	0
10	20	45714000
10	20	44718000
10	20	44650000
